
LAFARGE HOLCIM,6008
TECHNIPFMC PLC,4051
VALLOUREC,3705
ARCELORMITTAL,3244
TOTAL,2734
MICHELIN,2187
AIR LIQUIDE,2106
AIRBUS GROUP,2092
ENGIE SA,1893
VEOLIA ENVIRONNEMENT,1788
SOLVAY,1702
EDF,1086
ALSTOM,1029
SAFRAN,912
BOUYGUES,846
ACCORHOTELS,787
VINCI SA,760
THALES SA,727
AIR FRANCE,717
SCHNEIDER ELECTRIC,620
LEGRAND,601
DANONE SA,595
SUEZ SA,555
STMICROELECTRONICS,515
WFD UNIBAIL RODAMCO NV,490
DASSAULT AVIATION,455
RENAULT,406
VALEO,390
PSA GROUP,384
SAINT-GOBAIN,310
KLEPIERRE,264
PERNOD RICARD,239

